Foul,Post,
1,"mere desh ke hindu bahut niraale hai. kuchh to pakke raam bhakt hai owr kuchh baabar ke saale hai 

🙏 jay shrii raam 🙏",
0,"sarakaar hameshaa se kisaanon kii kamaaii ko badhaane ke lie naii-naii skiimen laatii rahatii hai, taaki un par jyaadaa aarthik bojh n pade.
0
https://t.co/8iy2mjsbas",
0,"sushaant ne jo bijanes ḍiil 9 juun ko kii thii, vo ḍiil diipesh ko sushaant kii hatyaa ke din hii kyon yaad aaii? dekhie 'puuchhataa hai bhaarata' arnab ke saath ripablik bhaarat par #live :  https://t.co/g945hvzm0z https://t.co/kfh7xf1idm",
1,@prabhav218 saale jeenayuu chhaap kamine log hinduon ko yah kahate hai kii samvidhaan sabako baraabar adhikaar detaa hai. sachchaaii yah hai ki yah baraabar adhikaar nahiin detaa hai.,
,,
0,- 7 sitambar se deshabhar men meṭro sevaa shuru hogii,
0,- 21 sitambar ke baad railiyon owr baakii phankshan men 100 logon ko ijaajat,
0,#NAME?,
0,#NAME?,
0,- 9 se 12viin ke chhaatr 21 sitambar ke baad skuul jaa sakenge.,
0,"jab biijepii pravaktaa sambitswaraj ne kaangres pravaktaa supriyashrinate ko kahaa heḍ misṭres to sunie kaangres pravaktaa ne kyaa javaab diyaa
hallaa_bol  ",
0,"biyar grils ke saath khataranaak jangalon men dikhenge akshay kumaar, jaarii kiyaa viiḍiyo

akshaykumar
beargrylls",
0,"aajam khaan kii beṭii par sasuur ne kiyaa repa.
ab quatation ye uṭhataa hai ki hone vaalaa bachchaa aajam khaan ke riyal damaad ko kyaa bolegaa.
",
,,
0,"1. ""Poorv Pradhan Mantri Dr. Manmohan Singh ne 10 Rajaji Marg pahunchkar poorv Rashtrapati Pranav Mukherjee ko shraddhanjali di #PranabMukherjee https://t.co/egBXvOgC1w""",
0,"2. ""IPL chhodenge @harbhajan_singh? @ChennaiIPL adhikari ne diya update https://t.co/9zFnEXdtAk #HarbhajanSingh #IPL2020 https://t.co/z9Dpaffw3I""",
0,"3. ""#Saharanpur checking ke bahane ugaahi karne wale giraftar, 2 shatir badmashon ko police ne kiya giraftar, scooty, 2 tamanchey, mobile baramad kiya, dehat kotwali police ne kiya giraftar. @saharanpurpol @digsaharanpur @Uppolice #policemedianews""",
0,"4. ""Japan ke Nobel Puraskar jeetne wale aur 4 saal tak China mein kaam karne wale Professor #Tasuku_Honjo ka dawa, Corona prakritik nahi krtrim virus hai jo China ne banaya hai.""",
0,"5. ""Delhi mein Hinduon aur Sikhhon ki saamuhik hatyaein karne ke liye aatankwadi jehadi ghee ke dibbe mein avaidh hathiyar supply karte huye dhar daboch gaye.""",
1,"6. ""Kutte mein bhi ekta hoti hai vicharon mein virodh hoti lekin phir bhi use mein ekta hoti hai. Patrakar mein nahi aaj tak news channel par Ashutosh sir ko Gaurav Bhatia bola dono kan par thappad maroonga wahan baitha patrakar Rohit Sardana sunti rahi mujhe bahut dukh hui.""",
0,"7. ""Pranab Mukherjee ne 37 prarthiyon se judi 28 daya yachikaon ko kharij kiya. Pranab se pehle Rashtrapati rahin Pratibha Patil ne sabse jyada 30 logon ko fansi ke bande se bachaya tha. Pranab ne sirf saath ki fansi ki saja maaf ki. https://t.co/1G44U1OR4R""",
0,"8. ""Ladakh ke paas China ne phir se tainaat kiye apne J-20 ladaku viman, lagatar bhar rahe hain udan- #IndiaChinaFaceOff https://t.co/2VfWAZenTi""",
1,"9. ""@liHusin1 @KanganaTeam Ha be kate land ki paidaish halala ki aulad tumhe ye nahi malum tera abu kaun hai aur teri khala jaan chudai khana ko nahi pata ki tera abu maulvi sahab hai, chacha hai, bhai jaan hai ya padosi wala Abdul, Farukh, Rahis chacha bhi tere abu jaan ho sakte hai. Sala suwar teri...""",
0,"10. ""Grah Mantri Amit Shah ko bone cancer se joojh rahe hain.""",
1,"11. ""Twitter pe bahut se ch***ye milenge, jo saale Hinduon ka virodh karte hue mil jaenge... unki khud ki fake ID hoti hai, ab jaise isi Chaman ch***ye ko dekhiye, Pistol Pandey naam rakhe hain aur Hinduon ke virodh mein lage hue hain.""",
0,"12. ""@SalmanNizami_ Rahul Gandhi - Maa main agle 4 saal kya karunga 🙃",
0,"Sonia Gandhi - Beta TV recharge kar diya hai baithkar Chhota Bheem dekh. 😂😂😂""",
0,"13. ""CCTV mein record hui chor ki chori, dher saare sone ke sikke baramad kiye gaye @capt_ivane @DelhiPolice #Delhi https://t.co/CWo9EqedoG""",
0,"14. ""TV par aane se pehle itni tayyari karta hai ye gareeb aadmi.""",
0,"15. ""Ab yeh asambhav hi lag raha hai ki koi aisa banda jo retire ho chuka hai aur ab koi cricket nahi khelega, wo CSK ke liye vapas aayega. Shayad, ho sakta hai ki vah auction mein dobara jayen aur koi doosri team unhein khareed le' #CSK #SureshRaina https://t.co/1PZ3fkb8Cj""",
0,"16. ""Nayi Rashtriya Shiksha Niti: Teen bhasha niti ko Tamil Nadu sarkar ne kiya kharij, kaha - do bhasha par hi hoga amal https://t.co/deEf7BQ4i3""",
0,"17. ""Bharat ki asangathit arthvyavastha par doosra bada hamla hai GST: Rahul Gandhi https://t.co/0CxyP0rMyU""",
0,"18. ""Yogi Adityanath ji ke athak parishram ka hi pratiphal hai ki Uttar Pradesh sabhi vidambanayen piche chhod sarvangin vikas ke raste chal pada hai. Jai Ho @myogiadityanath ji.""",
0,"19. ""@Real_Deepika_: Modi ji ke mor ke saath wale photo par Rahul Gandhi ka karara jawab 😂🤣😂🤣 https://t.co/mb9bWDjbdP""",
0,"20. ""Shantipriya dwara Mohammad Paigambar par aapattijanak tippani ke liye Bangalore mein updrav😠",
1,"Aur hamare yahan #Heer_Khan jo niyamit roop se Hindu Devi-Devtaon ko gaali de rahi thi. Although Prayagraj remained peaceful..!!""",
0,"""Yeh interior design hain, yeh kisi ka drawing room nahi hai 21.""",
0,"""JEEMain: Pahli paali ki pariksha khatm, bahar nikale students ne kaha - Corona ko lekar dar tha, lekin khushi is baat ki hai ki hamara ek saal bacha https://t.co/9wHy3UhO11 #JEEMain #JEE""",
0,"""Is tasveer mein jo aali-shaan sohfe aur vishwastariya interior design hain, yeh kisi ka drawing room nahi hai. Yeh desh ke pradhanmantri ke liye khareeda gaya Boeing-777 VVIP aircraft hai. Iski saj-dhaj aur shano-shaunkat se aap andaza laga sakte hain apne aap ko janta ka sevak aur chowkidar kehne wala kitna vilasita-purn jeevan jeene ka aadi ho chuka hai. Aur yeh vishwastariya suvidhaon se lais aircraft August ya September mahine mein Bharat aa jayega. Bas phir Modi ji ke videsh daure chalu.""",
0,"""Aisi tamam modern suvidha vyavasthaon se lais aise 2 Boeing VVIP aircraft khareede ja rahe hain jinki kimat lagbhag 8458 crore rupees hai! Bharatiyon, tum jio fakiri mein aur chowkidar jiyega shano-shaunkat mein. Yeh sach hai pradhanmantri banne se pehle kitna ghadial ki aansu bahaya tha Modi sahab ne poora rashtra ko jhoothe sapno mein bhrmit karvaya tha. Sahab ne ab dekho hakikat kya tha, kis liye gumrah kar raha tha.""",
0,"""10 lakh ki suit pehan khud ko fakir batata hai, Japan ka khana aur peena upyog karne wale khud ko bikhari batata hai. Jago Bharat Jago!""",
0,"""IPL se pehle private beach par maze le rahe hain @lionsdenkxip ke khiladi https://t.co/WKmZJCuSpc #KXIP #IPL2020 #IPLinUAE https://t.co/dXuLnXisgv""",
1,"""Chhatra 11vi class mein padhti thi, practical pariksha dene ke liye school gayi hui thi, pariksha dekar school se laut hi rahi thi, tabhi school ke bahar ghat lagaye baithe ek musalman yuvak ne jiski umar lagbhag 25 se 26 saal batai ja rahi hai, tezi se talwar lekar aaya, aur chhatra ke gardan par vaar kar diya. Muslim yuvak ne talwar se vaar kar Hindu ladki Pooja, putri Shankar Lal Kotma Anupgarh Madhya Pradesh ki hatya isliye kar di kyunki usne uske tathakathit love jihad ke pyar ko nakar diya tha. Hum Hindu is desh mein kitne lachar hain. Aur kitne surakshit hain in jihadion ke aage. Khoon kholta hai mera aise mein.""",
0,"""Kangana Ranaut ne Mumbai ki tulna POK se ki hai, kya ab unke khilaf deshdrohi ka mukadama darj hoga? Kya Kangana jail jayengi? Ya phir jaati aur dharm ke hisaab se unhein baksh diya jayega?""",
0,"""Kya chalu vitta varsh ki pehli trimester mein GDP ke kharab ankdon ke liye corona aapda jimmedar hai? #GDP #CoronaPandemic #IndianEconomy""",
