Foul,Post
0,Seen niccas come up ... I seen niccas fall
1,bitch you gotta glo up one day.
0,hillbilly bone-bo-bone-bo-bone bone
1,@KASSIGOD drinking away this stress. you got some new hoes for us?
1,@GrizzboAdams @wyattnuckels this Friday at the c burg mall you gettin whipped like the bitches I fuck
1,RT @OneTimeForMoet: It's been fuck bitches but a Queen&#128120; can get my time
1,@kim92493 @_NikeCaptain_ @Tae_Rhodes I was implying you we're the bro &amp; them two aint nothin but lil hoes..c'mon now I or you Kim
0,"RT @gucci10I7: side hoes shall only eat side dishes fo ye are what ye eats
-traprinthions 10:17"
1,Los bitch told me if my name start with a D i could fuck...A B C SHE GOT THE D
0,It's no wonder my titanium ankle is killing me. Woo retarded 'winter' weather! #texas #weather http://t.co/rrKxBwG1u4
1,"RT @aivayePVUcheer: I can't stand a ""fuck these niggas"" ass bitch.."
1,RT @nateturnboy: You left prom camping first day cause you're a bitch boy.
0,"#Yankees 3, #Astros 0: McCarthy outduels Keuchel in series finale http://t.co/hIJJAUKtJN"
1,S/o to dat bitch ass nigga in Alabama who wanna kill me #GoodLucc
1,"Met this bitch online. Call her my ""e-bae"""
1,That 'Ouija' movie look like trash
1,RT @Lipe_the_Great: Holy fucking shit. Why is a game against a third string qb redskins team so gut wrenching
1,Fuhk you you hoe I don't want you back classic joint http://t.co/RSTFFagdwY
1,@IzThat_xp @xDSmooth lmao denote got a bitch here right now but he love her
0,"""Brownies for my brownie"" I love this movie. &#128517;"
1,RT @oddfuckingtaco: Damn I hate a bitch that like to argue and shit
1,@Tristine214 I swear des hoes just making up challenges now
1,He run his mouth just like a bitch I had to cut em off
0,I need sleep but can't seem to get that place that let's you clam down and sleep :(
1,@thesportsjudge. Sometimes a good hoe fire needs some Rocephin too before it'll go out.....
0,Western Jihadi fanboys use of language: peppering sentences with Arabic words to sound knowledgeable - #Comical http://t.co/G2rca1XGh7
1,&#8220;@najmaaa_ali: Lool I agree RT&#8220;@stopitfive_: the most fucked up show I ever watched was misfits&#8221;&#8221; wen Simone wifed that hoe was the saddest
1,Can someone beat Justin beibers ass? He's such little pussy.
1,"RT @Feenohmenal: I spent my whole fucking life apologizing for not being enough. You can't cut, nip, fuck, booze or drug the inadequacy out&#8230;"
0,Video: Shy Glizzy &#8211; &#8220;I Can&#8217;t Trust&#160;Myself&#8221; http://t.co/HRfuDrvZdb
1,"&#128073; RT @OeauxMar: Nigga was smashing his hoe, had his hoe paying for a condo and he still with her &#128514;&#128514;&#128514;&#128514; Yep Fucboy"
0,@ViVaLa_Ari smh what's wrong wit u ho
1,If a cute bitch fucks with a lame nigga she automatically becomes 10 times less attractive in my eyes
1,@crazy_mike97 Hold it you fucking bitch
1,@EverybodyHatesX shut up bitch and focus on that L tomar
0,RT @SCAR_49: @16stanleys @odale_ese118 hahah that niggah got hella checked ! Do your thang Uce. #PowerCouple
1,@FreddyAmazin ratchet looking nigger
1,Lol I never understood retards who use the atm and pay a $2 fee to get $20 and put it in gas so the don't pay the credit price -_-
1,RT @ClicquotSuave: drop that pussy bitchhhhhhh
1,RT @JemapelleDalila: @yadirasarmiento I just wanna know when are we gonna go fuck shit up &amp; go fuck up bitches????? &#128514;&#128536;&#128521;
1,RT @YouCanHaveHer: You either gay or straight don't talk to me bitch please &#9996;
1,"Crank up a little hank, sit on the hood and drink, I'm about to get my redneck on"
1,Gay ass hillbilly intro song
1,"RT @WhiteNiggaSwagg: Hmmm, is that a Ratchet hoe I smell?"
1,@FAGHETTIOS speak english prude ass white bitch
1,yall pussies i swur
1,the trash wheel has a twitter? and googly eyes?
0,How is Angry Birds the movie going to work? They're just floating bird heads?
1,@erinscafe If I have to watch baseball I actually go for the Mets because Jon Stewart. And fuck the Yankees.
1,"RT @SantosVictorero: RT @peddoc63 Lib Hypocrisy alert&#128680; bans ""bossy"" but ""bitch"" is okay! @AmyMek @michellemalkin @jjauthor #tcot http://t.c&#8230;"
0,Met a woman who was trying to feed a crow a Brazil nut
1,"If you're a male and ""hoes/hos"" and/or ""bitches"" is your default word for women...you gotta go. Remove yourself, please."
1,"RINO trash like @SpeakerBoehner, @KarlRove, @FrankLuntz see conservatives as the Democrat Party see blacks. As their slave property. #tcot"
1,RT @TheBardockObama: Yea but who gets more bitches grandma
1,RT @IceTeaa__: The hoes yall chase want me &#128175;
1,Two foreign hoes Iont like the basic
1,@kayliefarmer @bbluedreamm no but if you dare I'll slay your ass. You fruity quaffing tranny.
1,"Dumb little broad , move the fuck along bitch"
1,21- you a bitch but you my bitch so we hella chillin. also thanks for tolerating me and being my friend.
1,"Go UTES! You got Playboy bitches, disrespectful players, and a bunch of spoiled hipsters at your school, so I'm cheering for you. #not"
1,Lmaoooooo RT @HeauxmerSimpson RT @iluvfashion618 Dre really is a big sloppy bitch. He's fat as shit.
1,Lauren &amp; I ate candy we found on the floor during class we are trash
1,If you attractive people just gone up and assume you got hoes
