Foul,Post,language,Unnamed: 2
1.0,"RT @killaaakam_: Who's gassin these hoes, BP? &#128564;",english,
1.0,Kamzor lund ka mut,hindi,
1.0,Kamzor lund ka muth,hindi,
1.0,Tatti ke tiile,hindi,
1.0,I treat my bitches with respect,english,
1.0,teri maa ki chut bsdk dur reh usse,hindi,
1.0,9 baap k,hindi,
1.0,Couldn't care less about any bitch &#128079;,english,
0.0,RT @SportsCenter: Derek Jeter's final game at Yankee Stadium will be 1st he's ever played there with Yankees eliminated from playoffs. http&#8230;,english,
0.0,"17. ""BJP sadasya Rita Bahuguna Joshi corona positive, aspatal mein karaya gaya bharti",hindi,
1.0,This hot ass black girl from twitter goes to WOHS lol. That's cray. I thought she was some alias ass bitch from miles away,english,
1.0,All you hoes middle name isn't Nicole &#128530; The jig is up..,english,
1.0,"@SureshChavhanke @MaheshNBhatt #arrestmaheshbhatt 
Kutte ko arrest karo.",hindi,
1.0,kmin tameez h ki nhi],hindi,
1.0,chootiya ksi baat krta h bsdk,hindi,
1.0,@KingsleeyNYC yep lmao. Its been a hectic few weeks. Waddup ho,english,
1.0,Pital ki gand,hindi,
1.0,RT @Erv_Gulfwings14: I think Zlatan even has Class in the way he talks trash,english,
0.0,"""Moradabad hotel manager ki atmahatya ka mamla, patni, saali samet 4 logon par case darj, jehar khate samay banaya tha video, patni-parijanon ko bataya maut ka jimmedar, civil lines thane mein darj hua hai case.""",hindi,
1.0,RT @If_ItAint_B: Miami isn't a good city at all...don't believe the shit you see on TV that city is trash.,english,
1.0,Chal bhosdike ghumne chlte,hindi,
0.0,"8. ""Mukhtar Ansari aur Atiq Ahmad se pet nahi bhara Yogi Baba ka to ab notice de diya Azam Khan ke resort ko todne ka Jurmila Baba 😏""",hindi,
1.0,RT @No_ahhh23: Happy birthday faggot! &#128536; @wagggggie,english,
1.0,Photo: Seriously &#8230; All my friends are hoes. It&#8217;s so funny. #getyourlife &#128078; http://t.co/nbnBGYCFMI,english,
1.0,RT @TerryWigley_: @wagggggie iPhone 5 bitch,english,
0.0,"1. ""UP bana Mahajangal Raj. Ab tak aapne suna hoga ki insaan ya car sawaar ka agwa kiya jaata raha lekin ab to bas hi agwa ho gayi. @INCIndia""",hindi,
1.0,"Calling out teabaggers, conservatives on their BS: http://t.co/l8Qx8RMjrG via @YouTube",english,
1.0,"trash night tonight. I can already hear the sound of America's thriving economic sector out on the street, four wheels, one of them wobbles.",english,
1.0,RT @ColeMcDowell2: &#8220;@FriendlyAssh0le: rt if u remember when steve from 'blue clues' left us with that other bitch ass nigga joe http://t.co&#8230;,english,
1.0,I'm thankful for dem big booty hoes doe #realtalk,english,
0.0,"""Second phase ki ye parikshayein 14 September se honi hai. Parikshayein open book hongi. Yani inme chatra jawab dete samay kitaabon ya notes ka sahara le sakte hain.""",hindi,
1.0,@nicsarantos @Huntermoore she looks like the pussy lips are huge,english,
0.0,It's no wonder my titanium ankle is killing me. Woo retarded 'winter' weather! #texas #weather http://t.co/rrKxBwG1u4,english,
1.0,@TheMilkMan57 @wyattnuckels @grizzboadams haha the little shit talkier brought his other bitch,english,
1.0,RT @Trap_Jesus: Never seen a nigga get laughed at when he got his test back and it was an A on that bitch.,english,
1.0,@Tylar____ you ah lien ass hoe,english,
,,hindi,
1.0,99 problems but a bitch ain't 1,english,
1.0,RT @freexvidi: fake ass bitches bruh LOL &#128553;,english,
1.0,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",english,
0.0,"""@Rofl_Swara aur tum jaisi kutiya ko koi haddiya nahi daal raha. Hatyaaron ko bhiid ke haathon se chhudwa le gaye CEO, poorv vidhayak ki patni, bahu ki pitaai ki thi, zameen kabje ke liye pahuche the 50 gunde, poorv vidhayak hatyakand mein CEO par aarop, CEO Paliya ke khilaaf Mishra parivaar FIR aur giraftaari kar raha hai maang.""",hindi,
1.0,@areuseriousrn @harmon_lauren it's okay I'll get bitches on this dick anyway but thanks for the tip,english,
1.0,"@HilareeJay I hate those creepy ass dolls that call you dada, I'm like ""bitch I ain't yo daddy""",english,
0.0,"#FemaleLogic is worse than the jig, I'm convinced",english,
1.0,tu mera tatta h bsdk,hindi,
0.0,"Shambhit Patra ka naya ilaan, 'Puri' garibi ko kareeb se dekhne ke liye Patra footpath par baithke khana khayenge aur raat mein footpath par so jayenge.",hindi,
1.0,paper ki gand phad di,hindi,
1.0,RT @TheBardockObama: Yea but who gets more bitches grandma,english,
1.0,"BASICALLY, #GOP, #ROMNEY, right wing reactionaries, drudgies, teabaggers, libertaritards, all hate our education system and teachers.",english,
1.0,"RT @SheswantstheD: If you take your girl back after she cheats on you, you're a little bitch.",english,
1.0,@QUAN1T0 You retarded bruh lol,english,
1.0,andi bndi sndi jo bola uski chut me lulii,hindi,
0.0,"Bihar mein dharm khatre mein hai jaldi chalo
Sabhi andhbhakt https://t.co/U5gXhfXtXd",hindi,
